0,345511
1,345512
2,345513
3,345514
4,345515
5,345516
6,345517
7,345518
8,345519
9,345520
10,345521
11,345522
12,345523
13,345524
14,345525
15,345526
16,345527
17,345528
18,345529
19,345530
20,345531
21,345532
22,345533
23,345534
24,345535
25,345536
26,345537
27,345538
28,345539
29,345540
30,345541
31,345542
32,345543
33,345544
34,345545
35,345546
36,345547
37,345548
38,345549
39,345550
40,345551
41,345552
42,345553
43,345554
44,345555
45,345556
46,345557
47,345558
48,345559
49,345560
50,345561
51,345562
52,345563
53,345564
54,345565
55,345566
56,345567
57,345568
58,345569
59,345570
60,345571
61,345572
62,345573
63,345574
64,345575
65,345576
66,345577
67,345578
68,345579
69,345580
70,345581
71,345582
72,345583
73,345584
74,345585
75,345586
76,345587
77,345588
78,345589
79,345590
80,345591
81,345592
82,345593
83,345594
84,345595
85,345596
86,345597
87,345598
88,345599
89,345600
